City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,guamal,9.1433,-74.2238,32.82,58,87,0.8,CO,1702836191
243,songling,31.1933,120.7176,0.69,56,95,2.0,CN,1702836192
244,tshabong,-26.05,22.45,25.87,48,65,11.16,BW,1702836193
245,la foa,-21.7108,165.8276,24.02,80,91,1.85,NC,1702836193
246,sangueya,10.7,-14.3667,28.04,53,100,2.41,GN,1702836193
247,onega,63.9061,38.1404,-5.67,94,68,3.61,RU,1702836194
248,sos'va,59.1766,61.8558,-12.06,93,100,3.82,RU,1702836194
249,labuan bajo,-8.4964,119.8877,25.59,79,93,4.77,ID,1702836195
250,mejit,10.2753,170.8646,26.94,78,93,11.3,MH,1702836195
251,guerrero negro,27.9769,-114.0611,21.76,34,78,1.68,MX,1702836196
252,san antonio de pale,-1.4014,5.6325,27.25,81,100,3.8,GQ,1702836197
253,piriapolis,-34.8682,-55.2744,26.09,69,75,4.63,UY,1702836198
254,gunjur,13.2019,-16.7339,27.04,47,100,3.09,GM,1702836199
255,colonia,50.9333,6.95,7.14,90,0,2.06,DE,1702835972
256,castillos,-34.1667,-53.8333,28.33,72,68,2.19,UY,1702835612
257,shingu,33.7333,135.9833,2.42,69,54,3.1,JP,1702836200
258,chengdu,30.6667,104.0667,3.57,60,40,3.0,CN,1702835744
259,kavaratti,10.5669,72.642,28.34,72,89,1.4,IN,1702836202
260,khandyga,62.6667,135.6,-47.93,100,78,0.34,RU,1702836202
261,inda silase,14.1031,38.2829,17.94,36,25,2.98,ET,1702836019
262,goundam,16.4145,-3.6708,23.17,14,92,5.79,ML,1702836204
263,port lincoln,-34.7333,135.8667,21.63,65,100,2.04,AU,1702836204
264,kresttsy,58.2452,32.5165,-1.52,91,52,4.23,RU,1702836205
265,malvan,16.0667,73.4667,27.28,64,55,3.65,IN,1702836205
266,vorkuta,67.5,64.0,-18.16,89,81,5.27,RU,1702836206
267,port alfred,-33.5906,26.891,19.54,93,25,3.58,ZA,1702836207
